"ìùåvñºÅF","óﬂòaÇQîNçëê®í≤ç∏ êlå˚ìôäÓñ{èWåvÅ@ÅiéÂÇ»ì‡óeÅFíjèóÅEîNóÓÅEîzãÙä÷åWÅCê¢ë—ÇÃç\ê¨ÅCèZãèÇÃèÛë‘ÅCïÍéqÅEïÉéqê¢ë—ÅCçëê–Ç»Ç«Åj"
"ï\î‘çÜÅF","4-2"
"ï\ëËÅF","[ëçêlå˚ÅEëçê¢ë—êîÅEíjèóÅEîNóÓÅEîzãÙä÷åW] íjèóÅCîNóÓÅiäeçŒÅjÅCîzãÙä÷åWÅCçëê–ëçêîÇ©ì˙ñ{êlï êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅi15çŒà»è„ÅjÅ|ëSçëÅCìsìπï{åßÅC21ëÂìsésÅC21ëÂìsésÇÃãÊÅCåßí°èäç›ésÅCêlå˚20ñúà»è„ÇÃés"
"é¿é{îNåéÅF","2020îN","10åé"
"ésãÊí¨ë∫éûì_ÅiîNåéì˙ÅjÅF","-"

"***","ìñäYêîílÇ™Ç»Ç¢Ç‡ÇÃ"
"-","ìñäYêîílÇ™Ç»Ç¢Ç‡ÇÃ"

"","","","","","","","","","","","","","","","/ï\èÕéñçÄ ÉRÅ[Éh","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43","2020_43"
"","","","","","","","","","","","","","","","/ï\èÕéñçÄ ï‚èïÉRÅ[Éh","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","","","","","/ï\èÕéñçÄ","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz","êlå˚ç\ê¨î‰ÅmîzãÙä÷åWï ÅnÅyÅìÅz"
"","","","","","","","","","","","","","","","/îNóÓ ÉRÅ[Éh","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","R1","R2","R3","R4","R5"
"","","","","","","","","","","","","","","","/îNóÓ ï‚èïÉRÅ[Éh","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ëSçëÅ`êlå˚20ñúà»è„ÇÃés ÉRÅ[Éh","ëSçëÅ`êlå˚20ñúà»è„ÇÃés ï‚èïÉRÅ[Éh","ëSçëÅ`êlå˚20ñúà»è„ÇÃés","éûä‘é≤ÅiîNéüÅj ÉRÅ[Éh","éûä‘é≤ÅiîNéüÅj ï‚èïÉRÅ[Éh","éûä‘é≤ÅiîNéüÅj","çëê–ëçêîÇ©ì˙ñ{êl ÉRÅ[Éh","çëê–ëçêîÇ©ì˙ñ{êl ï‚èïÉRÅ[Éh","çëê–ëçêîÇ©ì˙ñ{êl","íjèó ÉRÅ[Éh","íjèó ï‚èïÉRÅ[Éh","íjèó","îzãÙä÷åW ÉRÅ[Éh","îzãÙä÷åW ï‚èïÉRÅ[Éh","îzãÙä÷åW","/îNóÓ","ëçêî","15çŒ","16çŒ","17çŒ","18çŒ","19çŒ","20çŒ","21çŒ","22çŒ","23çŒ","24çŒ","25çŒ","26çŒ","27çŒ","28çŒ","29çŒ","30çŒ","31çŒ","32çŒ","33çŒ","34çŒ","35çŒ","36çŒ","37çŒ","38çŒ","39çŒ","40çŒ","41çŒ","42çŒ","43çŒ","44çŒ","45çŒ","46çŒ","47çŒ","48çŒ","49çŒ","50çŒ","51çŒ","52çŒ","53çŒ","54çŒ","55çŒ","56çŒ","57çŒ","58çŒ","59çŒ","60çŒ","61çŒ","62çŒ","63çŒ","64çŒ","65çŒ","66çŒ","67çŒ","68çŒ","69çŒ","70çŒ","71çŒ","72çŒ","73çŒ","74çŒ","75çŒ","76çŒ","77çŒ","78çŒ","79çŒ","80çŒ","81çŒ","82çŒ","83çŒ","84çŒ","85çŒ","86çŒ","87çŒ","88çŒ","89çŒ","90çŒ","91çŒ","92çŒ","93çŒ","94çŒ","95çŒ","96çŒ","97çŒ","98çŒ","99çŒ","100çŒà»è„","ÅiçƒåfÅj15Å`64çŒ","ÅiçƒåfÅj65çŒà»è„","ÅiçƒåfÅj75çŒà»è„","ÅiçƒåfÅj85çŒà»è„","ÅiçƒåfÅj20Å`69çŒ"
"00000","","ëSçë","2020000000","","2020îN","0","","çëê–ëçêî","0","","ëçêî","1","","ñ¢ç•","","27.48603","99.98252","99.96027","99.92239","99.55566","99.06102","98.22743","96.85034","94.71180","91.62823","87.27537","81.38282","74.63862","67.40062","60.62646","54.47987","49.02288","44.63700","40.98775","37.82664","35.06921","32.59128","30.43968","28.79974","27.41747","26.40149","25.40331","24.63439","24.16165","23.74039","23.39413","23.03904","22.61060","22.38672","22.03023","21.71833","21.10697","20.34054","19.50134","18.75149","18.21370","17.11987","16.30577","15.28437","14.41848","13.63035","12.86120","12.18888","11.53815","10.91681","10.39078","9.94013","9.47337","9.01906","8.49697","8.06551","7.46816","6.83495","6.33171","5.73142","5.34969","4.89110","4.33537","4.10857","3.86993","3.67474","3.42171","3.26160","3.09418","2.98248","2.92316","2.93103","2.83168","2.86873","2.92348","2.96379","2.94776","2.98188","2.98516","3.04597","3.01690","2.88149","2.81948","2.80462","2.70284","2.54500","2.45147","38.21653","5.49775","3.46231","2.91220","30.24509"
"00000","","ëSçë","2020000000","","2020îN","0","","çëê–ëçêî","0","","ëçêî","2","","óLîzãÙ","","58.34483","0.01710","0.03748","0.07440","0.38208","0.86093","1.64287","2.94126","4.94700","7.84708","12.00671","17.67571","24.19760","31.13323","37.62522","43.49261","48.65469","52.71350","56.06402","58.92122","61.33459","63.51700","65.35705","66.66954","67.78144","68.52837","69.20149","69.65159","69.83139","69.96538","69.90536","69.80418","69.80409","69.64449","69.57475","69.48042","69.66563","70.05007","70.56768","71.02520","71.02102","71.96496","72.45475","73.24179","73.79766","74.24609","74.77412","75.15121","75.48145","75.82120","75.99890","75.89871","75.78715","75.55184","75.42175","75.01139","74.53717","74.37743","73.84000","73.47452","72.63622","71.63449","70.61052","69.18911","67.42792","65.55411","63.43455","60.89985","58.06534","55.40780","52.01954","48.47817","44.72992","41.12002","37.50115","33.51874","29.72281","26.03401","22.61435","19.33113","16.26757","13.42653","10.96317","8.90131","7.10465","6.10062","4.52943","55.45296","64.27067","54.35163","33.65800","61.93049"
"00000","","ëSçë","2020000000","","2020îN","0","","çëê–ëçêî","0","","ëçêî","3","","éÄï ","","8.76415","0.00028","0.00090","0.00116","0.01443","0.01652","0.02279","0.02053","0.02496","0.02093","0.02485","0.02852","0.02950","0.03379","0.03620","0.04072","0.04557","0.05409","0.07049","0.07724","0.09883","0.12129","0.13508","0.15540","0.18789","0.20410","0.24159","0.28518","0.32149","0.36414","0.42162","0.48394","0.57439","0.65209","0.74833","0.82606","0.95799","1.11548","1.27595","1.41631","1.66857","1.85275","2.13389","2.41040","2.76250","3.10318","3.48932","3.92253","4.38101","4.93088","5.48812","6.11442","6.84901","7.64399","8.42930","9.38948","10.54888","11.62059","12.93751","14.27776","15.78580","17.66591","19.55886","21.50569","23.75266","26.11287","28.86090","31.80352","35.09758","38.11419","41.80772","45.53343","49.57737","53.29615","57.01597","61.07693","64.96001","68.71030","72.07401","75.39243","78.44660","81.50695","84.12816","86.23152","88.17972","89.39461","91.35646","1.01471","24.64382","38.24896","60.87128","1.82924"
"00000","","ëSçë","2020000000","","2020îN","0","","çëê–ëçêî","0","","ëçêî","4","","ó£ï ","","5.40499","0.00009","0.00135","0.00205","0.04783","0.06153","0.10691","0.18788","0.31624","0.50376","0.69307","0.91295","1.13428","1.43237","1.71212","1.98680","2.27687","2.59541","2.87773","3.17490","3.49737","3.77043","4.06819","4.37532","4.61320","4.86604","5.15361","5.42884","5.68546","5.93008","6.27888","6.67285","7.01092","7.31670","7.64670","7.97520","8.26940","8.49390","8.65503","8.80700","9.09671","9.06242","9.10559","9.06343","9.02136","9.02038","8.87536","8.73738","8.59939","8.33111","8.12221","8.04675","7.89048","7.78512","7.65198","7.53362","7.44579","7.16702","6.89077","6.51630","6.22829","5.80850","5.49525","5.19663","4.94949","4.65828","4.28283","4.03503","3.74290","3.49554","3.24958","3.05736","2.86103","2.71510","2.55941","2.44054","2.36942","2.27382","2.32649","2.23046","2.26893","2.18503","2.08919","2.06254","2.01279","1.95977","1.66265","5.31579","5.58776","3.93710","2.55852","5.99519"
"00000","","ëSçë","2020000000","","2020îN","0","","çëê–ëçêî","1","","íj","1","","ñ¢ç•","","31.92596","99.98160","99.97286","99.95823","99.61832","99.23962","98.65032","97.64125","95.97673","93.55594","90.08391","85.23221","79.40147","72.87275","66.58767","60.52852","55.24478","50.78974","46.98279","43.75658","41.03787","38.38415","35.97366","34.26301","32.75813","31.60790","30.45505","29.53634","28.96387","28.45358","28.13673","27.82622","27.32815","27.19280","26.85130","26.56793","25.90183","24.96981","24.02190","23.16626","22.60577","21.47100","20.57182","19.41416","18.53833","17.72208","16.88333","16.12832","15.41349","14.71842","14.10676","13.60405","13.02962","12.43191","11.72462","10.97711","10.01964","8.84828","7.89001","6.76727","6.20519","5.43096","4.66602","4.22423","3.80664","3.42026","3.02261","2.71645","2.44394","2.19283","1.99256","1.86543","1.66627","1.53305","1.40497","1.39977","1.20127","1.17205","1.12794","1.22113","1.11921","0.90361","0.91658","1.06361","0.93886","1.11454","1.69642","42.66224","6.79224","3.00820","1.46623","34.86292"
