Japan, Exposure to risk (period 5x1) excerpt; JMD/IPSS ver.005_002
Year Age Female Male Total
2020 15-19 2752579.06 2899618.14 5652197.20
2020 20-24 2901354.16 3019500.71 5920854.87
2020 25-29 2910850.73 3035323.03 5946173.77
2020 30-34 3140851.99 3266535.01 6407387.00
2020 35-39 3569440.37 3693969.59 7263409.97
2020 40-44 4092510.03 4238366.82 8330876.85
2020 45-49 4765576.51 4915901.70 9681478.21
2020 50-54 4223234.53 4308346.79 8531581.32
2020 55-59 3867642.89 3880160.74 7747803.63
2020 60-64 3719997.25 3643669.04 7363666.29
2020 65-69 4254103.46 4015638.78 8269742.24
2020 70-74 4773697.21 4264661.77 9038358.98
2020 75-79 3909288.15 3140155.07 7049443.22
2020 80-84 3147322.13 2213129.67 5360451.80
2020 85-89 2369403.60 1304140.36 3673543.95
2020 90-94 1299528.54 492680.84 1792209.38
2020 95-99 419228.03 94455.56 513683.58
2020 100-104 64575.49 8924.53 73500.02
2020 105-109 4752.71 422.27 5174.98
2020 110+ 136.03 3.77 139.80
2024 15-19 2603671.75 2738288.82 5341960.58
2024 20-24 2799815.14 2942619.57 5742434.71
2024 25-29 2917416.49 3027318.45 5944734.94
2024 30-34 2909420.03 3029720.01 5939140.04
2024 35-39 3237905.33 3360829.04 6598734.37
2024 40-44 3634986.20 3758381.74 7393367.94
2024 45-49 4242952.38 4383599.40 8626551.78
2024 50-54 4713495.52 4835409.74 9548905.27
2024 55-59 4120767.51 4156104.49 8276872.00
2024 60-64 3733030.40 3679873.35 7412903.75
2024 65-69 3691870.75 3512322.23 7204192.98
2024 70-74 4374508.83 3915654.01 8290162.84
2024 75-79 4236805.83 3491210.86 7728016.70
2024 80-84 3540795.86 2524780.27 6065576.12
2024 85-89 2495586.28 1440533.55 3936119.83
2024 90-94 1455230.88 594270.30 2049501.18
2024 95-99 515956.47 133401.01 649357.48
2024 100-104 83863.46 11912.61 95776.07
2024 105-109 5448.06 461.97 5910.03
2024 110+ 167.98 4.16 172.14
