year,sex,age,from_state,to_state,value
2020,male,15-19,S,D,0.00028087163604499486
2020,male,15-19,M,D,0.00040722898453300063
2020,male,15-19,W,D,0.0
2020,male,15-19,V,D,0.0011370004455542263
2020,male,20-24,S,D,0.000493460212376078
2020,male,20-24,M,D,0.00031010223987765857
2020,male,20-24,W,D,0.001416714302170123
2020,male,20-24,V,D,0.0027875431208691497
2020,male,25-29,S,D,0.0005441590567073865
2020,male,25-29,M,D,0.0002118614649478367
2020,male,25-29,W,D,0.0036580005516857377
2020,male,25-29,V,D,0.0029772709857129155
2020,male,30-34,S,D,0.0008169784275597766
2020,male,30-34,M,D,0.0002654089657795935
2020,male,30-34,W,D,0.00277339930931708
2020,male,30-34,V,D,0.0025306726808232228
2020,male,35-39,S,D,0.0011623067939964757
2020,male,35-39,M,D,0.00035001900689674774
2020,male,35-39,W,D,0.0022121630160160844
2020,male,35-39,V,D,0.002840737551045517
2020,male,40-44,S,D,0.0018649729862953005
2020,male,40-44,M,D,0.0005550826676055076
2020,male,40-44,W,D,0.0025154491770405752
2020,male,40-44,V,D,0.004028605027100379
2020,male,45-49,S,D,0.0029052721888630914
2020,male,45-49,M,D,0.0009270379330915104
2020,male,45-49,W,D,0.002706569403058349
2020,male,45-49,V,D,0.005789689790711508
2020,male,50-54,S,D,0.004686726161675496
2020,male,50-54,M,D,0.0015803631768113867
2020,male,50-54,W,D,0.004241354356956175
2020,male,50-54,V,D,0.008678219405496535
2020,male,55-59,S,D,0.007883514884816362
2020,male,55-59,M,D,0.002801791269885243
2020,male,55-59,W,D,0.005755120879983378
2020,male,55-59,V,D,0.012966222547761117
2020,male,60-64,S,D,0.013257904387733294
2020,male,60-64,M,D,0.0050620182753300744
2020,male,60-64,W,D,0.009331991589977169
2020,male,60-64,V,D,0.018749304599755753
2020,male,65-69,S,D,0.021366609366386572
2020,male,65-69,M,D,0.009180383920943953
2020,male,65-69,W,D,0.015788591527257968
2020,male,65-69,V,D,0.02915005361828034
2020,male,70-74,S,D,0.033243022658619455
2020,male,70-74,M,D,0.015836151813713874
2020,male,70-74,W,D,0.023461050276992138
2020,male,70-74,V,D,0.04413773975040809
2020,male,75-79,S,D,0.0544033194828736
2020,male,75-79,M,D,0.028697538352854
2020,male,75-79,W,D,0.040170791155421465
2020,male,75-79,V,D,0.07040853900774027
2020,male,80+,S,D,0.1010222028224674
2020,male,80+,M,D,0.08030564226105455
2020,male,80+,W,D,0.1301212452517619
2020,male,80+,V,D,0.13893245379462887
