year,sex,age,state,value
2024,male,15-19,M,0.0
2024,male,15-19,S,714.0
2024,male,15-19,W,0.0
2024,male,15-19,V,0.0
2024,female,15-19,M,0.0
2024,female,15-19,S,568.0
2024,female,15-19,W,0.0
2024,female,15-19,V,2.0
2024,male,20-24,M,27.0
2024,male,20-24,S,1338.0
2024,male,20-24,W,0.0
2024,male,20-24,V,9.0
2024,female,20-24,M,16.0
2024,female,20-24,S,765.0
2024,female,20-24,W,1.0
2024,female,20-24,V,11.0
2024,male,25-29,M,144.0
2024,male,25-29,S,1202.0
2024,male,25-29,W,2.0
2024,male,25-29,V,69.0
2024,female,25-29,M,149.0
2024,female,25-29,S,672.0
2024,female,25-29,W,4.0
2024,female,25-29,V,52.0
2024,male,30-34,M,358.0
2024,male,30-34,S,1307.0
2024,male,30-34,W,5.0
2024,male,30-34,V,133.0
2024,female,30-34,M,297.0
2024,female,30-34,S,586.0
2024,female,30-34,W,3.0
2024,female,30-34,V,71.0
2024,male,35-39,M,669.0
2024,male,35-39,S,1725.0
2024,male,35-39,W,10.0
2024,male,35-39,V,288.0
2024,female,35-39,M,577.0
2024,female,35-39,S,750.0
2024,female,35-39,W,10.0
2024,female,35-39,V,204.0
2024,male,40-44,M,1282.0
2024,male,40-44,S,2411.0
2024,male,40-44,W,17.0
2024,male,40-44,V,662.0
2024,female,40-44,M,1035.0
2024,female,40-44,S,1032.0
2024,female,40-44,W,28.0
2024,female,40-44,V,348.0
2024,male,45-49,M,2547.0
2024,male,45-49,S,3902.0
2024,male,45-49,W,49.0
2024,male,45-49,V,1332.0
2024,female,45-49,M,2192.0
2024,female,45-49,S,1546.0
2024,female,45-49,W,61.0
2024,female,45-49,V,750.0
2024,male,50-54,M,4648.0
2024,male,50-54,S,6679.0
2024,male,50-54,W,143.0
2024,male,50-54,V,2667.0
2024,female,50-54,M,3867.0
2024,female,50-54,S,2406.0
2024,female,50-54,W,171.0
2024,female,50-54,V,1500.0
2024,male,55-59,M,7214.0
2024,male,55-59,S,8285.0
2024,male,55-59,W,271.0
2024,male,55-59,V,4261.0
2024,female,55-59,M,5141.0
2024,female,55-59,S,2442.0
2024,female,55-59,W,421.0
2024,female,55-59,V,1858.0
2024,male,60-64,M,12227.0
2024,male,60-64,S,9827.0
2024,male,60-64,W,677.0
2024,male,60-64,V,6088.0
2024,female,60-64,M,7178.0
2024,female,60-64,S,2434.0
2024,female,60-64,W,1018.0
2024,female,60-64,V,2350.0
2024,male,65-69,M,22378.0
2024,male,65-69,S,12795.0
2024,male,65-69,W,1753.0
2024,male,65-69,V,8640.0
2024,female,65-69,M,11143.0
2024,female,65-69,S,2686.0
2024,female,65-69,W,2550.0
2024,female,65-69,V,3370.0
2024,male,70-74,M,48170.0
2024,male,70-74,S,18257.0
2024,male,70-74,W,5781.0
2024,male,70-74,V,13827.0
2024,female,70-74,M,20791.0
2024,female,70-74,S,3995.0
2024,female,70-74,W,8602.0
2024,female,70-74,V,6048.0
2024,male,75-79,M,78714.0
2024,male,75-79,S,15425.0
2024,male,75-79,W,12844.0
2024,male,75-79,V,15550.0
2024,female,75-79,M,29627.0
2024,female,75-79,S,5008.0
2024,female,75-79,W,21985.0
2024,female,75-79,V,8438.0
2024,male,80+,M,296013.0
2024,male,80+,S,16323.0
2024,male,80+,W,143769.0
2024,male,80+,V,23527.0
2024,female,80+,M,84079.0
2024,female,80+,S,28082.0
2024,female,80+,W,470322.0
2024,female,80+,V,34541.0
2023,male,15-19,M,2.0
2023,male,15-19,S,757.0
2023,male,15-19,W,0.0
2023,male,15-19,V,0.0
2023,female,15-19,M,3.0
2023,female,15-19,S,533.0
2023,female,15-19,W,0.0
2023,female,15-19,V,0.0
2023,male,20-24,M,45.0
