year,sex,age,from_state,to_state,value
2024,male,15-19,M,V,175.0
2024,male,20-24,M,V,4821.0
2024,male,25-29,M,V,16008.0
2024,male,30-34,M,V,19455.0
2024,male,35-39,M,V,18817.0
2024,male,40-44,M,V,18422.0
2024,male,45-49,M,V,17420.0
2024,male,50-54,M,V,15035.0
2024,male,55-59,M,V,9782.0
2024,male,60-64,M,V,6182.0
2024,male,65-69,M,V,3598.0
2024,male,70-74,M,V,2625.0
2024,male,75-79,M,V,1738.0
2024,male,80+,M,V,1186.0
2024,female,15-19,M,V,422.0
2024,female,20-24,M,V,6950.0
2024,female,25-29,M,V,20182.0
2024,female,30-34,M,V,21967.0
2024,female,35-39,M,V,19842.0
2024,female,40-44,M,V,18159.0
2024,female,45-49,M,V,16651.0
2024,female,50-54,M,V,13439.0
2024,female,55-59,M,V,7629.0
2024,female,60-64,M,V,4155.0
2024,female,65-69,M,V,2350.0
2024,female,70-74,M,V,1696.0
2024,female,75-79,M,V,1148.0
2024,female,80+,M,V,673.0
2023,male,15-19,M,V,199.0
2023,male,20-24,M,V,5236.0
2023,male,25-29,M,V,15682.0
2023,male,30-34,M,V,18774.0
2023,male,35-39,M,V,19051.0
2023,male,40-44,M,V,18230.0
2023,male,45-49,M,V,17659.0
2023,male,50-54,M,V,14639.0
2023,male,55-59,M,V,9163.0
2023,male,60-64,M,V,5845.0
2023,male,65-69,M,V,3293.0
2023,male,70-74,M,V,2811.0
2023,male,75-79,M,V,1555.0
2023,male,80+,M,V,1076.0
2023,female,15-19,M,V,486.0
2023,female,20-24,M,V,7593.0
2023,female,25-29,M,V,19869.0
2023,female,30-34,M,V,21124.0
2023,female,35-39,M,V,19867.0
2023,female,40-44,M,V,18138.0
2023,female,45-49,M,V,16757.0
2023,female,50-54,M,V,13065.0
2023,female,55-59,M,V,6836.0
2023,female,60-64,M,V,3755.0
2023,female,65-69,M,V,2417.0
2023,female,70-74,M,V,1715.0
2023,female,75-79,M,V,960.0
2023,female,80+,M,V,631.0
2022,male,15-19,M,V,209.0
2022,male,20-24,M,V,5484.0
2022,male,25-29,M,V,14554.0
2022,male,30-34,M,V,17630.0
2022,male,35-39,M,V,18403.0
2022,male,40-44,M,V,18010.0
2022,male,45-49,M,V,17659.0
2022,male,50-54,M,V,13784.0
2022,male,55-59,M,V,8439.0
2022,male,60-64,M,V,5587.0
2022,male,65-69,M,V,3162.0
2022,male,70-74,M,V,2643.0
2022,male,75-79,M,V,1406.0
2022,male,80+,M,V,952.0
2022,female,15-19,M,V,503.0
2022,female,20-24,M,V,8019.0
2022,female,25-29,M,V,18676.0
2022,female,30-34,M,V,20002.0
2022,female,35-39,M,V,19383.0
2022,female,40-44,M,V,17649.0
2022,female,45-49,M,V,16465.0
2022,female,50-54,M,V,12205.0
2022,female,55-59,M,V,6263.0
2022,female,60-64,M,V,3505.0
2022,female,65-69,M,V,2198.0
2022,female,70-74,M,V,1708.0
2022,female,75-79,M,V,833.0
2022,female,80+,M,V,514.0
2021,male,15-19,M,V,263.0
2021,male,20-24,M,V,5750.0
2021,male,25-29,M,V,14405.0
2021,male,30-34,M,V,18362.0
2021,male,35-39,M,V,19362.0
2021,male,40-44,M,V,18725.0
2021,male,45-49,M,V,18453.0
2021,male,50-54,M,V,13547.0
2021,male,55-59,M,V,8090.0
2021,male,60-64,M,V,5147.0
2021,male,65-69,M,V,3193.0
2021,male,70-74,M,V,2591.0
2021,male,75-79,M,V,1169.0
2021,male,80+,M,V,778.0
2021,female,15-19,M,V,609.0
2021,female,20-24,M,V,8326.0
2021,female,25-29,M,V,18619.0
2021,female,30-34,M,V,20709.0
2021,female,35-39,M,V,20149.0
2021,female,40-44,M,V,18337.0
2021,female,45-49,M,V,17542.0
2021,female,50-54,M,V,11609.0
2021,female,55-59,M,V,5865.0
2021,female,60-64,M,V,3219.0
2021,female,65-69,M,V,2093.0
2021,female,70-74,M,V,1603.0
2021,female,75-79,M,V,716.0
2021,female,80+,M,V,439.0
2020,male,15-19,M,V,296.0
2020,male,20-24,M,V,6493.0
2020,male,25-29,M,V,15519.0
2020,male,30-34,M,V,20526.0
2020,male,35-39,M,V,21586.0
2020,male,40-44,M,V,20594.0
2020,male,45-49,M,V,19437.0
2020,male,50-54,M,V,13353.0
2020,male,55-59,M,V,8315.0
2020,male,60-64,M,V,5207.0
2020,male,65-69,M,V,3351.0
2020,male,70-74,M,V,2398.0
2020,male,75-79,M,V,1180.0
2020,male,80+,M,V,674.0
2020,female,15-19,M,V,703.0
2020,female,20-24,M,V,9466.0
2020,female,25-29,M,V,20216.0
2020,female,30-34,M,V,23312.0
2020,female,35-39,M,V,21902.0
2020,female,40-44,M,V,19938.0
2020,female,45-49,M,V,18299.0
2020,female,50-54,M,V,11433.0
2020,female,55-59,M,V,5904.0
2020,female,60-64,M,V,3112.0
2020,female,65-69,M,V,2099.0
2020,female,70-74,M,V,1435.0
2020,female,75-79,M,V,760.0
2020,female,80+,M,V,350.0
2019,male,15-19,M,V,332.0
2019,male,20-24,M,V,7380.0
2019,male,25-29,M,V,16601.0
2019,male,30-34,M,V,22857.0
2019,male,35-39,M,V,23777.0
2019,male,40-44,M,V,22748.0
2019,male,45-49,M,V,20298.0
2019,male,50-54,M,V,14001.0
2019,male,55-59,M,V,8874.0
2019,male,60-64,M,V,5566.0
2019,male,65-69,M,V,3716.0
2019,male,70-74,M,V,2482.0
2019,male,75-79,M,V,1262.0
2019,male,80+,M,V,758.0
2019,female,15-19,M,V,876.0
2019,female,20-24,M,V,10564.0
2019,female,25-29,M,V,21842.0
2019,female,30-34,M,V,25867.0
2019,female,35-39,M,V,23904.0
2019,female,40-44,M,V,22103.0
2019,female,45-49,M,V,19356.0
2019,female,50-54,M,V,11722.0
2019,female,55-59,M,V,6080.0
2019,female,60-64,M,V,3319.0
2019,female,65-69,M,V,2374.0
2019,female,70-74,M,V,1473.0
2019,female,75-79,M,V,788.0
2019,female,80+,M,V,386.0
2018,male,15-19,M,V,425.0
2018,male,20-24,M,V,7556.0
2018,male,25-29,M,V,16850.0
2018,male,30-34,M,V,23332.0
2018,male,35-39,M,V,24119.0
2018,male,40-44,M,V,23291.0
2018,male,45-49,M,V,19970.0
2018,male,50-54,M,V,13350.0
2018,male,55-59,M,V,8439.0
2018,male,60-64,M,V,5558.0
2018,male,65-69,M,V,3882.0
2018,male,70-74,M,V,2229.0
2018,male,75-79,M,V,1116.0
2018,male,80+,M,V,691.0
2018,female,15-19,M,V,988.0
2018,female,20-24,M,V,11106.0
2018,female,25-29,M,V,22159.0
2018,female,30-34,M,V,26247.0
2018,female,35-39,M,V,24269.0
2018,female,40-44,M,V,22936.0
2018,female,45-49,M,V,18605.0
2018,female,50-54,M,V,10781.0
2018,female,55-59,M,V,5715.0
2018,female,60-64,M,V,3225.0
2018,female,65-69,M,V,2406.0
2018,female,70-74,M,V,1352.0
2018,female,75-79,M,V,691.0
2018,female,80+,M,V,328.0
2017,male,15-19,M,V,452.0
2017,male,20-24,M,V,7288.0
2017,male,25-29,M,V,16809.0
2017,male,30-34,M,V,24539.0
2017,male,35-39,M,V,24804.0
2017,male,40-44,M,V,24468.0
2017,male,45-49,M,V,19781.0
2017,male,50-54,M,V,13068.0
2017,male,55-59,M,V,8346.0
2017,male,60-64,M,V,5303.0
2017,male,65-69,M,V,4158.0
2017,male,70-74,M,V,1986.0
2017,male,75-79,M,V,1062.0
2017,male,80+,M,V,649.0
2017,female,15-19,M,V,1042.0
2017,female,20-24,M,V,10927.0
2017,female,25-29,M,V,22276.0
2017,female,30-34,M,V,27445.0
2017,female,35-39,M,V,25340.0
2017,female,40-44,M,V,23628.0
2017,female,45-49,M,V,18417.0
2017,female,50-54,M,V,10395.0
2017,female,55-59,M,V,5409.0
2017,female,60-64,M,V,3046.0
2017,female,65-69,M,V,2615.0
2017,female,70-74,M,V,1176.0
2017,female,75-79,M,V,633.0
2017,female,80+,M,V,364.0
2016,male,15-19,M,V,515.0
2016,male,20-24,M,V,7351.0
2016,male,25-29,M,V,17224.0
2016,male,30-34,M,V,25217.0
2016,male,35-39,M,V,26335.0
2016,male,40-44,M,V,25514.0
2016,male,45-49,M,V,19394.0
2016,male,50-54,M,V,12909.0
2016,male,55-59,M,V,8217.0
2016,male,60-64,M,V,5374.0
2016,male,65-69,M,V,4372.0
