year,sex,age,from_state,to_state,value
2024,male,15-19,S,M,1670.0
2024,male,20-24,S,M,31712.0
2024,male,25-29,S,M,102068.0
2024,male,30-34,S,M,61501.0
2024,male,35-39,S,M,30372.0
2024,male,40-44,S,M,13469.0
2024,male,45-49,S,M,6347.0
2024,male,50-54,S,M,2947.0
2024,male,55-59,S,M,1322.0
2024,male,60-64,S,M,643.0
2024,male,65-69,S,M,299.0
2024,male,70-74,S,M,179.0
2024,male,75-79,S,M,80.0
2024,male,80+,S,M,32.0
2024,female,15-19,S,M,3197.0
2024,female,20-24,S,M,41739.0
2024,female,25-29,S,M,114211.0
2024,female,30-34,S,M,58447.0
2024,female,35-39,S,M,25361.0
2024,female,40-44,S,M,9316.0
2024,female,45-49,S,M,3481.0
2024,female,50-54,S,M,1681.0
2024,female,55-59,S,M,721.0
2024,female,60-64,S,M,273.0
2024,female,65-69,S,M,117.0
2024,female,70-74,S,M,59.0
2024,female,75-79,S,M,36.0
2024,female,80+,S,M,17.0
2023,male,15-19,S,M,1897.0
2023,male,20-24,S,M,32760.0
2023,male,25-29,S,M,101162.0
2023,male,30-34,S,M,61361.0
2023,male,35-39,S,M,31220.0
2023,male,40-44,S,M,14176.0
2023,male,45-49,S,M,6721.0
2023,male,50-54,S,M,2951.0
2023,male,55-59,S,M,1261.0
2023,male,60-64,S,M,626.0
2023,male,65-69,S,M,333.0
2023,male,70-74,S,M,177.0
2023,male,75-79,S,M,60.0
2023,male,80+,S,M,23.0
2023,female,15-19,S,M,3437.0
2023,female,20-24,S,M,43842.0
2023,female,25-29,S,M,114159.0
2023,female,30-34,S,M,58094.0
2023,female,35-39,S,M,26047.0
2023,female,40-44,S,M,9634.0
2023,female,45-49,S,M,3689.0
2023,female,50-54,S,M,1697.0
2023,female,55-59,S,M,654.0
2023,female,60-64,S,M,274.0
2023,female,65-69,S,M,106.0
2023,female,70-74,S,M,55.0
2023,female,75-79,S,M,26.0
2023,female,80+,S,M,19.0
2022,male,15-19,S,M,2003.0
2022,male,20-24,S,M,35892.0
2022,male,25-29,S,M,110203.0
2022,male,30-34,S,M,67723.0
2022,male,35-39,S,M,34909.0
2022,male,40-44,S,M,15679.0
2022,male,45-49,S,M,7540.0
2022,male,50-54,S,M,3029.0
2022,male,55-59,S,M,1141.0
2022,male,60-64,S,M,548.0
2022,male,65-69,S,M,287.0
2022,male,70-74,S,M,144.0
2022,male,75-79,S,M,55.0
2022,male,80+,S,M,26.0
2022,female,15-19,S,M,3607.0
2022,female,20-24,S,M,48912.0
2022,female,25-29,S,M,125860.0
2022,female,30-34,S,M,63292.0
2022,female,35-39,S,M,28646.0
2022,female,40-44,S,M,10506.0
2022,female,45-49,S,M,3956.0
2022,female,50-54,S,M,1691.0
2022,female,55-59,S,M,618.0
2022,female,60-64,S,M,253.0
2022,female,65-69,S,M,91.0
2022,female,70-74,S,M,63.0
2022,female,75-79,S,M,34.0
2022,female,80+,S,M,14.0
2021,male,15-19,S,M,2280.0
2021,male,20-24,S,M,39341.0
2021,male,25-29,S,M,114849.0
2021,male,30-34,S,M,70170.0
2021,male,35-39,S,M,35462.0
2021,male,40-44,S,M,16283.0
2021,male,45-49,S,M,7621.0
2021,male,50-54,S,M,2873.0
2021,male,55-59,S,M,1052.0
2021,male,60-64,S,M,507.0
2021,male,65-69,S,M,285.0
2021,male,70-74,S,M,149.0
2021,male,75-79,S,M,40.0
2021,male,80+,S,M,14.0
2021,female,15-19,S,M,4225.0
2021,female,20-24,S,M,53722.0
2021,female,25-29,S,M,131006.0
2021,female,30-34,S,M,64245.0
2021,female,35-39,S,M,29013.0
2021,female,40-44,S,M,10639.0
2021,female,45-49,S,M,3893.0
2021,female,50-54,S,M,1452.0
2021,female,55-59,S,M,512.0
2021,female,60-64,S,M,196.0
2021,female,65-69,S,M,90.0
2021,female,70-74,S,M,54.0
2021,female,75-79,S,M,31.0
2021,female,80+,S,M,17.0
2020,male,15-19,S,M,2943.0
2020,male,20-24,S,M,43149.0
2020,male,25-29,S,M,123519.0
2020,male,30-34,S,M,78103.0
2020,male,35-39,S,M,39795.0
2020,male,40-44,S,M,18409.0
2020,male,45-49,S,M,8477.0
2020,male,50-54,S,M,2839.0
2020,male,55-59,S,M,1120.0
2020,male,60-64,S,M,553.0
2020,male,65-69,S,M,255.0
2020,male,70-74,S,M,120.0
2020,male,75-79,S,M,47.0
2020,male,80+,S,M,17.0
2020,female,15-19,S,M,5256.0
2020,female,20-24,S,M,59320.0
2020,female,25-29,S,M,141559.0
