year,sex,age,value
2020,female,15-19,2752579.06
2020,male,15-19,2899618.14
2020,female,20-24,2901354.16
2020,male,20-24,3019500.71
2020,female,25-29,2910850.73
2020,male,25-29,3035323.03
2020,female,30-34,3140851.99
2020,male,30-34,3266535.01
2020,female,35-39,3569440.37
2020,male,35-39,3693969.59
2020,female,40-44,4092510.03
2020,male,40-44,4238366.82
2020,female,45-49,4765576.51
2020,male,45-49,4915901.7
2020,female,50-54,4223234.53
2020,male,50-54,4308346.79
2020,female,55-59,3867642.89
2020,male,55-59,3880160.74
2020,female,60-64,3719997.25
2020,male,60-64,3643669.04
2020,female,65-69,4254103.46
2020,male,65-69,4015638.78
2020,female,70-74,4773697.21
2020,male,70-74,4264661.77
2020,female,75-79,3909288.15
2020,male,75-79,3140155.07
2020,female,80+,7304946.530000001
2020,male,80+,4113757.0
2024,female,15-19,2603671.75
2024,male,15-19,2738288.82
2024,female,20-24,2799815.14
2024,male,20-24,2942619.57
2024,female,25-29,2917416.49
2024,male,25-29,3027318.45
2024,female,30-34,2909420.03
2024,male,30-34,3029720.01
2024,female,35-39,3237905.33
2024,male,35-39,3360829.04
2024,female,40-44,3634986.2
2024,male,40-44,3758381.74
2024,female,45-49,4242952.38
2024,male,45-49,4383599.4
2024,female,50-54,4713495.52
2024,male,50-54,4835409.74
2024,female,55-59,4120767.51
2024,male,55-59,4156104.49
2024,female,60-64,3733030.4
2024,male,60-64,3679873.35
2024,female,65-69,3691870.75
2024,male,65-69,3512322.23
2024,female,70-74,4374508.83
2024,male,70-74,3915654.01
2024,female,75-79,4236805.83
2024,male,75-79,3491210.86
2024,female,80+,8097048.989999999
2024,male,80+,4705363.87
