year,sex,age,from_state,to_state,value
2024,male,15-19,V,M,10.0
2024,male,20-24,V,M,933.0
2024,male,25-29,V,M,6021.0
2024,male,30-34,V,M,12497.0
2024,male,35-39,V,M,15543.0
2024,male,40-44,V,M,14235.0
2024,male,45-49,V,M,11822.0
2024,male,50-54,V,M,9007.0
2024,male,55-59,V,M,5961.0
2024,male,60-64,V,M,3678.0
2024,male,65-69,V,M,1990.0
2024,male,70-74,V,M,1142.0
2024,male,75-79,V,M,621.0
2024,male,80+,V,M,369.0
2023,male,15-19,V,M,9.0
2023,male,20-24,V,M,973.0
2023,male,25-29,V,M,5941.0
2023,male,30-34,V,M,12434.0
2023,male,35-39,V,M,16035.0
2023,male,40-44,V,M,14703.0
2023,male,45-49,V,M,12241.0
2023,male,50-54,V,M,9060.0
2023,male,55-59,V,M,5949.0
2023,male,60-64,V,M,3702.0
2023,male,65-69,V,M,1899.0
2023,male,70-74,V,M,1114.0
2023,male,75-79,V,M,602.0
2023,male,80+,V,M,344.0
2022,male,15-19,V,M,12.0
2022,male,20-24,V,M,1096.0
2022,male,25-29,V,M,6185.0
2022,male,30-34,V,M,13939.0
2022,male,35-39,V,M,17967.0
2022,male,40-44,V,M,16380.0
2022,male,45-49,V,M,13219.0
2022,male,50-54,V,M,9126.0
2022,male,55-59,V,M,5712.0
2022,male,60-64,V,M,3523.0
2022,male,65-69,V,M,1847.0
2022,male,70-74,V,M,1165.0
2022,male,75-79,V,M,479.0
2022,male,80+,V,M,324.0
2021,male,15-19,V,M,12.0
2021,male,20-24,V,M,1240.0
2021,male,25-29,V,M,6698.0
2021,male,30-34,V,M,14211.0
2021,male,35-39,V,M,18951.0
2021,male,40-44,V,M,16719.0
2021,male,45-49,V,M,13373.0
2021,male,50-54,V,M,8866.0
2021,male,55-59,V,M,5485.0
2021,male,60-64,V,M,3400.0
2021,male,65-69,V,M,1923.0
2021,male,70-74,V,M,1193.0
2021,male,75-79,V,M,518.0
2021,male,80+,V,M,266.0
2020,male,15-19,V,M,17.0
2020,male,20-24,V,M,1434.0
2020,male,25-29,V,M,6955.0
2020,male,30-34,V,M,15442.0
2020,male,35-39,V,M,20143.0
2020,male,40-44,V,M,18081.0
2020,male,45-49,V,M,14261.0
2020,male,50-54,V,M,9087.0
2020,male,55-59,V,M,5746.0
2020,male,60-64,V,M,3506.0
2020,male,65-69,V,M,2018.0
2020,male,70-74,V,M,1262.0
2020,male,75-79,V,M,505.0
2020,male,80+,V,M,287.0
2019,male,15-19,V,M,17.0
2019,male,20-24,V,M,1669.0
2019,male,25-29,V,M,7580.0
2019,male,30-34,V,M,17189.0
2019,male,35-39,V,M,23044.0
2019,male,40-44,V,M,21499.0
2019,male,45-49,V,M,16553.0
2019,male,50-54,V,M,10836.0
2019,male,55-59,V,M,6743.0
2019,male,60-64,V,M,4228.0
2019,male,65-69,V,M,2446.0
2019,male,70-74,V,M,1364.0
2019,male,75-79,V,M,570.0
2019,male,80+,V,M,323.0
2018,male,15-19,V,M,18.0
2018,male,20-24,V,M,1651.0
2018,male,25-29,V,M,7525.0
2018,male,30-34,V,M,17567.0
2018,male,35-39,V,M,22839.0
2018,male,40-44,V,M,21308.0
2018,male,45-49,V,M,15707.0
2018,male,50-54,V,M,9830.0
2018,male,55-59,V,M,6318.0
2018,male,60-64,V,M,3998.0
2018,male,65-69,V,M,2499.0
2018,male,70-74,V,M,1340.0
2018,male,75-79,V,M,605.0
2018,male,80+,V,M,289.0
2017,male,15-19,V,M,27.0
2017,male,20-24,V,M,1660.0
2017,male,25-29,V,M,7862.0
2017,male,30-34,V,M,18922.0
2017,male,35-39,V,M,24228.0
2017,male,40-44,V,M,21940.0
2017,male,45-49,V,M,15478.0
2017,male,50-54,V,M,9490.0
2017,male,55-59,V,M,6172.0
2017,male,60-64,V,M,4038.0
2017,male,65-69,V,M,2637.0
2017,male,70-74,V,M,1123.0
2017,male,75-79,V,M,560.0
2017,male,80+,V,M,256.0
2016,male,15-19,V,M,22.0
2016,male,20-24,V,M,1766.0
2016,male,25-29,V,M,8116.0
2016,male,30-34,V,M,19338.0
2016,male,35-39,V,M,25370.0
2016,male,40-44,V,M,22934.0
2016,male,45-49,V,M,15467.0
2016,male,50-54,V,M,9708.0
2016,male,55-59,V,M,6126.0
2016,male,60-64,V,M,4065.0
2016,male,65-69,V,M,2673.0
2016,male,70-74,V,M,1053.0
2016,male,75-79,V,M,499.0
2016,male,80+,V,M,262.0
2015,male,15-19,V,M,26.0
2015,male,20-24,V,M,1757.0
2015,male,25-29,V,M,8480.0
2015,male,30-34,V,M,20074.0
2015,male,35-39,V,M,26271.0
2015,male,40-44,V,M,23676.0
2015,male,45-49,V,M,15398.0
2015,male,50-54,V,M,9834.0
2015,male,55-59,V,M,6143.0
2015,male,60-64,V,M,4432.0
2015,male,65-69,V,M,2715.0
2015,male,70-74,V,M,1234.0
2015,male,75-79,V,M,474.0
2015,male,80+,V,M,266.0
2024,female,15-19,V,M,32.0
2024,female,20-24,V,M,1592.0
2024,female,25-29,V,M,8100.0
2024,female,30-34,V,M,14312.0
2024,female,35-39,V,M,14485.0
2024,female,40-44,V,M,11572.0
2024,female,45-49,V,M,9103.0
2024,female,50-54,V,M,7229.0
2024,female,55-59,V,M,3963.0
2024,female,60-64,V,M,1856.0
2024,female,65-69,V,M,803.0
2024,female,70-74,V,M,424.0
2024,female,75-79,V,M,254.0
2024,female,80+,V,M,155.0
2023,female,15-19,V,M,44.0
2023,female,20-24,V,M,1734.0
2023,female,25-29,V,M,8140.0
2023,female,30-34,V,M,14140.0
2023,female,35-39,V,M,14901.0
2023,female,40-44,V,M,11683.0
2023,female,45-49,V,M,9383.0
2023,female,50-54,V,M,7016.0
2023,female,55-59,V,M,3743.0
2023,female,60-64,V,M,1847.0
2023,female,65-69,V,M,787.0
2023,female,70-74,V,M,518.0
2023,female,75-79,V,M,240.0
2023,female,80+,V,M,114.0
2022,female,15-19,V,M,29.0
2022,female,20-24,V,M,1877.0
2022,female,25-29,V,M,8725.0
2022,female,30-34,V,M,15386.0
2022,female,35-39,V,M,16347.0
2022,female,40-44,V,M,12687.0
2022,female,45-49,V,M,9759.0
2022,female,50-54,V,M,6852.0
2022,female,55-59,V,M,3654.0
2022,female,60-64,V,M,1749.0
2022,female,65-69,V,M,803.0
2022,female,70-74,V,M,523.0
2022,female,75-79,V,M,199.0
2022,female,80+,V,M,93.0
2021,female,15-19,V,M,54.0
2021,female,20-24,V,M,2186.0
2021,female,25-29,V,M,9476.0
2021,female,30-34,V,M,15982.0
2021,female,35-39,V,M,17039.0
2021,female,40-44,V,M,12872.0
2021,female,45-49,V,M,9866.0
2021,female,50-54,V,M,6808.0
2021,female,55-59,V,M,3551.0
2021,female,60-64,V,M,1816.0
2021,female,65-69,V,M,898.0
2021,female,70-74,V,M,548.0
2021,female,75-79,V,M,236.0
2021,female,80+,V,M,79.0
2020,female,15-19,V,M,79.0
2020,female,20-24,V,M,2533.0
2020,female,25-29,V,M,9844.0
2020,female,30-34,V,M,17184.0
2020,female,35-39,V,M,18141.0
2020,female,40-44,V,M,13667.0
2020,female,45-49,V,M,10514.0
2020,female,50-54,V,M,6850.0
2020,female,55-59,V,M,3753.0
2020,female,60-64,V,M,1831.0
2020,female,65-69,V,M,985.0
2020,female,70-74,V,M,575.0
2020,female,75-79,V,M,241.0
2020,female,80+,V,M,103.0
2019,female,15-19,V,M,83.0
2019,female,20-24,V,M,2890.0
2019,female,25-29,V,M,11101.0
2019,female,30-34,V,M,19478.0
2019,female,35-39,V,M,20904.0
2019,female,40-44,V,M,16198.0
2019,female,45-49,V,M,12352.0
2019,female,50-54,V,M,7824.0
2019,female,55-59,V,M,4091.0
2019,female,60-64,V,M,2046.0
2019,female,65-69,V,M,1017.0
2019,female,70-74,V,M,568.0
2019,female,75-79,V,M,240.0
2019,female,80+,V,M,96.0
2018,female,15-19,V,M,90.0
2018,female,20-24,V,M,2914.0
2018,female,25-29,V,M,10865.0
2018,female,30-34,V,M,19551.0
2018,female,35-39,V,M,20953.0
2018,female,40-44,V,M,15760.0
2018,female,45-49,V,M,11358.0
2018,female,50-54,V,M,7155.0
2018,female,55-59,V,M,3805.0
2018,female,60-64,V,M,1915.0
2018,female,65-69,V,M,1149.0
2018,female,70-74,V,M,607.0
2018,female,75-79,V,M,240.0
2018,female,80+,V,M,84.0
2017,female,15-19,V,M,96.0
2017,female,20-24,V,M,3038.0
2017,female,25-29,V,M,11200.0
2017,female,30-34,V,M,20554.0
2017,female,35-39,V,M,21825.0
2017,female,40-44,V,M,16550.0
2017,female,45-49,V,M,11221.0
2017,female,50-54,V,M,6902.0
2017,female,55-59,V,M,3665.0
2017,female,60-64,V,M,1935.0
2017,female,65-69,V,M,1093.0
2017,female,70-74,V,M,529.0
2017,female,75-79,V,M,216.0
2017,female,80+,V,M,81.0
2016,female,15-19,V,M,105.0
2016,female,20-24,V,M,3185.0
2016,female,25-29,V,M,11646.0
2016,female,30-34,V,M,21457.0
2016,female,35-39,V,M,22630.0
2016,female,40-44,V,M,17157.0
2016,female,45-49,V,M,11152.0
2016,female,50-54,V,M,6901.0
2016,female,55-59,V,M,3640.0
2016,female,60-64,V,M,1908.0
2016,female,65-69,V,M,1148.0
2016,female,70-74,V,M,464.0
2016,female,75-79,V,M,206.0
2016,female,80+,V,M,83.0
2015,female,15-19,V,M,122.0
2015,female,20-24,V,M,3144.0
2015,female,25-29,V,M,11905.0
2015,female,30-34,V,M,22145.0
2015,female,35-39,V,M,23480.0
2015,female,40-44,V,M,17468.0
2015,female,45-49,V,M,10974.0
2015,female,50-54,V,M,6931.0
2015,female,55-59,V,M,3887.0
2015,female,60-64,V,M,2119.0
2015,female,65-69,V,M,1150.0
2015,female,70-74,V,M,512.0
2015,female,75-79,V,M,214.0
2015,female,80+,V,M,80.0
