year,sex,age,from_state,to_state,value
2024,male,15-19,W,M,0.0
2024,male,20-24,W,M,1.0
2024,male,25-29,W,M,13.0
2024,male,30-34,W,M,49.0
2024,male,35-39,W,M,107.0
2024,male,40-44,W,M,181.0
2024,male,45-49,W,M,252.0
2024,male,50-54,W,M,312.0
2024,male,55-59,W,M,369.0
2024,male,60-64,W,M,413.0
2024,male,65-69,W,M,379.0
2024,male,70-74,W,M,268.0
2024,male,75-79,W,M,237.0
2024,male,80+,W,M,243.0
2023,male,15-19,W,M,0.0
2023,male,20-24,W,M,2.0
2023,male,25-29,W,M,17.0
2023,male,30-34,W,M,55.0
2023,male,35-39,W,M,103.0
2023,male,40-44,W,M,221.0
2023,male,45-49,W,M,249.0
2023,male,50-54,W,M,333.0
2023,male,55-59,W,M,373.0
2023,male,60-64,W,M,359.0
2023,male,65-69,W,M,413.0
2023,male,70-74,W,M,321.0
2023,male,75-79,W,M,200.0
2023,male,80+,W,M,214.0
2022,male,15-19,W,M,0.0
2022,male,20-24,W,M,0.0
2022,male,25-29,W,M,15.0
2022,male,30-34,W,M,51.0
2022,male,35-39,W,M,153.0
2022,male,40-44,W,M,208.0
2022,male,45-49,W,M,288.0
2022,male,50-54,W,M,364.0
2022,male,55-59,W,M,389.0
2022,male,60-64,W,M,380.0
2022,male,65-69,W,M,361.0
2022,male,70-74,W,M,330.0
2022,male,75-79,W,M,214.0
2022,male,80+,W,M,253.0
2021,male,15-19,W,M,0.0
2021,male,20-24,W,M,5.0
2021,male,25-29,W,M,17.0
2021,male,30-34,W,M,71.0
2021,male,35-39,W,M,146.0
2021,male,40-44,W,M,229.0
2021,male,45-49,W,M,303.0
2021,male,50-54,W,M,382.0
2021,male,55-59,W,M,382.0
2021,male,60-64,W,M,420.0
2021,male,65-69,W,M,364.0
2021,male,70-74,W,M,304.0
2021,male,75-79,W,M,219.0
2021,male,80+,W,M,211.0
2020,male,15-19,W,M,0.0
2020,male,20-24,W,M,2.0
2020,male,25-29,W,M,20.0
2020,male,30-34,W,M,56.0
2020,male,35-39,W,M,163.0
2020,male,40-44,W,M,245.0
2020,male,45-49,W,M,298.0
2020,male,50-54,W,M,374.0
2020,male,55-59,W,M,442.0
2020,male,60-64,W,M,480.0
2020,male,65-69,W,M,396.0
2020,male,70-74,W,M,319.0
2020,male,75-79,W,M,214.0
2020,male,80+,W,M,258.0
2019,male,15-19,W,M,0.0
2019,male,20-24,W,M,3.0
2019,male,25-29,W,M,10.0
2019,male,30-34,W,M,89.0
2019,male,35-39,W,M,183.0
2019,male,40-44,W,M,275.0
2019,male,45-49,W,M,384.0
2019,male,50-54,W,M,420.0
2019,male,55-59,W,M,533.0
2019,male,60-64,W,M,521.0
2019,male,65-69,W,M,476.0
2019,male,70-74,W,M,398.0
2019,male,75-79,W,M,251.0
2019,male,80+,W,M,269.0
2018,male,15-19,W,M,0.0
2018,male,20-24,W,M,1.0
2018,male,25-29,W,M,26.0
2018,male,30-34,W,M,77.0
2018,male,35-39,W,M,195.0
2018,male,40-44,W,M,283.0
2018,male,45-49,W,M,367.0
2018,male,50-54,W,M,421.0
2018,male,55-59,W,M,548.0
2018,male,60-64,W,M,483.0
2018,male,65-69,W,M,503.0
2018,male,70-74,W,M,386.0
2018,male,75-79,W,M,254.0
2018,male,80+,W,M,236.0
2017,male,15-19,W,M,0.0
