year,sex,age,state,value
2020,male,15-19,S,0.9970279592487817
2020,male,15-19,M,0.0025406320086841933
2020,male,15-19,W,0.00012809048175000973
2020,male,15-19,V,0.0003033182607840231
2020,male,20-24,S,0.9570447564219352
2020,male,20-24,M,0.04058294480447397
2020,male,20-24,W,0.0002337666674706261
2020,male,20-24,V,0.002138532106120172
2020,male,25-29,S,0.7640619563185448
2020,male,25-29,M,0.22703664883785396
2020,male,25-29,W,0.00027019205287713365
2020,male,25-29,V,0.008631202790724057
2020,male,30-34,S,0.5178573406193079
2020,male,30-34,M,0.4613782149362477
2020,male,30-34,W,0.00044153005464480873
2020,male,30-34,V,0.020322914389799634
2020,male,35-39,S,0.3845324376135064
2020,male,35-39,M,0.5816113813311361
2020,male,35-39,W,0.0009789929037465528
2020,male,35-39,V,0.03287718815161095
2020,male,40-44,S,0.3223504917212862
2020,male,40-44,M,0.6312047316905791
2020,male,40-44,W,0.0018759268844469516
2020,male,40-44,V,0.04456884970368776
2020,male,45-49,S,0.2986269637974039
2020,male,45-49,M,0.6398627444384104
2020,male,45-49,W,0.0036076041631623885
2020,male,45-49,V,0.05790268760102333
2020,male,50-54,S,0.26634255726775957
2020,male,50-54,M,0.6550392192246451
2020,male,50-54,W,0.0064575353956090945
2020,male,50-54,V,0.07216068811198614
2020,male,55-59,S,0.21638281781743932
2020,male,55-59,M,0.6915392371877285
2020,male,55-59,W,0.011777458468829565
2020,male,55-59,V,0.08030048652600268
2020,male,60-64,S,0.1730997170864858
2020,male,60-64,M,0.7245591341464808
2020,male,60-64,W,0.021115977134104052
2020,male,60-64,V,0.08122517163292937
2020,male,65-69,S,0.14129274265616695
2020,male,65-69,M,0.7452575948743568
2020,male,65-69,W,0.03714436024726067
2020,male,65-69,V,0.07630530222221556
2020,male,70-74,S,0.09578173280918291
2020,male,70-74,M,0.7765655511983958
2020,male,70-74,W,0.059927971974600425
2020,male,70-74,V,0.06772474401782093
2020,male,75-79,S,0.05195660900843975
2020,male,75-79,M,0.8032206009631353
2020,male,75-79,W,0.0948530330244617
2020,male,75-79,V,0.049969757003963215
2020,male,80+,S,0.023598299394977058
2020,male,80+,M,0.73307162163462
2020,male,80+,W,0.21691346921500917
2020,male,80+,V,0.026416609755393745
