year,sex,age,from_state,to_state,value
2020,male,15-19,S,M,0.0010179867301483001
2020,male,20-24,S,M,0.014931496987247819
2020,male,25-29,S,M,0.05325989106611701
2020,male,30-34,S,M,0.046171104289219424
2020,male,35-39,S,M,0.028015747345299664
2020,male,40-44,S,M,0.013474210245176683
2020,male,45-49,S,M,0.005774441347008775
2020,male,50-54,S,M,0.002474082479173807
2020,male,55-59,S,M,0.0013339683745270169
2020,male,60-64,S,M,0.0008767784174140771
2020,male,65-69,S,M,0.00044943375306678016
2020,male,70-74,S,M,0.0002937744104156664
2020,male,75-79,S,M,0.00028807526089399043
2020,male,80+,S,M,0.00017511751279514082
2020,male,15-19,M,V,0.04017992647392273
2020,male,20-24,M,V,0.052986680092779924
2020,male,25-29,M,V,0.0225197128392156
2020,male,30-34,M,V,0.013619461078979841
2020,male,35-39,M,V,0.010047221120842017
2020,male,40-44,M,V,0.007697893910214022
2020,male,45-49,M,V,0.006179299144547219
2020,male,50-54,M,V,0.00473152230940862
2020,male,55-59,M,V,0.0030988154308454106
2020,male,60-64,M,V,0.0019723083777045567
2020,male,65-69,M,V,0.0011197301637578506
2020,male,70-74,M,V,0.0007240798545034106
2020,male,75-79,M,V,0.0004678386236407908
2020,male,80+,M,V,0.00022349862448777237
2020,male,15-19,M,W,0.0
2020,male,20-24,M,W,0.00015505111993882928
2020,male,25-29,M,W,0.00010883294432251885
2020,male,30-34,M,W,0.00016189946912555206
2020,male,35-39,M,W,0.00027461597615569303
2020,male,40-44,M,W,0.0004134151046274016
2020,male,45-49,M,W,0.000681608137362208
2020,male,50-54,M,W,0.0010477878730563387
2020,male,55-59,M,W,0.001550339409779544
2020,male,60-64,M,W,0.002261317652179029
2020,male,65-69,M,W,0.0036458895305168334
2020,male,70-74,M,W,0.005563155646109607
2020,male,75-79,M,W,0.009270737742875094
2020,male,80+,M,W,0.02609031420578328
2020,male,15-19,W,M,0.0
2020,male,20-24,W,M,0.002833428604340246
2020,male,25-29,W,M,0.024386670344571586
2020,male,30-34,W,M,0.038827590330439116
2020,male,35-39,W,M,0.04507282145132772
2020,male,40-44,W,M,0.030814252418747044
2020,male,45-49,W,M,0.01680328504398725
2020,male,50-54,W,M,0.013442936690691604
2020,male,55-59,W,M,0.009672104292595638
2020,male,60-64,W,M,0.006238657330346854
2020,male,65-69,W,M,0.0026548969192331873
2020,male,70-74,W,M,0.0012481779583656592
2020,male,75-79,W,M,0.000718474660030104
2020,male,80+,W,M,0.00028913092880911
2020,male,15-19,V,M,0.019329007574421846
2020,male,20-24,V,M,0.22207426862924226
2020,male,25-29,V,M,0.26547332955940167
2020,male,30-34,V,M,0.2326109972456679
2020,male,35-39,V,M,0.16585790287162275
2020,male,40-44,V,M,0.09571774966491714
2020,male,45-49,V,M,0.05010119302508302
2020,male,50-54,V,M,0.029228680406874354
2020,male,55-59,V,M,0.018441563059266183
2020,male,60-64,V,M,0.011846289768740975
2020,male,65-69,V,M,0.0065858495523611425
2020,male,70-74,V,M,0.0043694561943061665
2020,male,75-79,V,M,0.0032183483163385988
2020,male,80+,V,M,0.002640986504110378
