year,sex,age,state,value
2020,male,15-19,S,2891000.3567249486
2020,male,15-19,M,7366.862659445324
2020,male,15-19,W,371.4134844436672
2020,male,15-19,V,879.507131162604
2020,male,20-24,S,2889797.32151781
2020,male,20-24,M,122540.23065099996
2020,male,20-24,W,705.8586184018894
2020,male,20-24,V,6457.299212787654
2020,male,25-29,S,2319174.852360533
2020,male,25-29,M,689129.5688715609
2020,male,25-29,W,820.1201606209415
2020,male,25-29,V,26198.488607285
2020,male,30-34,S,1691599.1333184643
2020,male,30-34,M,1507108.0919405578
2020,male,30-34,W,1442.2733814644807
2020,male,30-34,V,66385.51135951329
2020,male,35-39,S,1420451.1309128648
2020,male,35-39,M,2148454.7558351103
2020,male,35-39,W,3616.370015265563
2020,male,35-39,V,121447.33323675915
2020,male,40-44,S,1366239.6285221842
2020,male,40-44,M,2675277.191424353
2020,male,40-44,W,7950.866263785934
2020,male,40-44,V,188899.13378967706
2020,male,45-49,S,1468020.7989974963
2020,male,45-49,M,3145502.353151447
2020,male,45-49,W,17734.627438617063
2020,male,45-49,V,284643.9204124395
2020,male,50-54,S,1147496.1016449432
2020,male,50-54,M,2822136.117470606
2020,male,50-54,W,27821.30189298382
2020,male,50-54,V,310893.26899146667
2020,male,55-59,S,839600.1145058005
2020,male,55-59,M,2683283.3983053723
2020,male,55-59,W,45698.43196773299
2020,male,55-59,V,311578.79522109457
2020,male,60-64,S,630718.0799807874
2020,male,60-64,M,2640053.684738739
2020,male,60-64,W,76939.63213288286
2020,male,60-64,V,295957.64314759104
2020,male,65-69,S,567380.6167426642
2020,male,65-69,M,2992685.299066996
2020,male,65-69,W,149158.33346719033
2020,male,65-69,V,306414.53072314896
2020,male,70-74,S,408476.694175677
2020,male,70-74,M,3311789.4180947756
2020,male,70-74,W,255572.53103370982
2020,male,70-74,V,288823.12669583707
2020,male,75-79,S,163151.80919785975
2020,male,75-79,M,2522237.242442836
2020,male,75-79,W,297853.2325566408
2020,male,75-79,V,156912.7858026631
2020,male,80+,S,97077.66932418263
2020,male,80+,M,3015678.5150007694
2020,male,80+,W,892329.3023775285
2020,male,80+,V,108671.51329751931
