year,sex,age,state,value
1920,male,15-19,S,2672042.0
1920,male,15-19,M,70842.0
1920,male,15-19,W,780.0
1920,male,15-19,V,5358.0
1920,male,20-24,S,1642196.0
1920,male,20-24,M,634177.0
1920,male,20-24,W,6822.0
1920,male,20-24,V,33284.0
1920,male,25-29,S,516919.0
1920,male,25-29,M,1417663.0
1920,male,25-29,W,22192.0
1920,male,25-29,V,51231.0
1920,male,30-34,S,149483.0
1920,male,30-34,M,1606113.0
1920,male,30-34,W,34812.0
1920,male,30-34,V,43035.0
1920,male,35-39,S,70235.0
1920,male,35-39,M,1552813.0
1920,male,35-39,W,46588.0
1920,male,35-39,V,38135.0
1920,male,40-44,S,46299.0
1920,male,40-44,M,1492747.0
1920,male,40-44,W,65560.0
1920,male,40-44,V,35648.0
1920,male,45-49,S,31159.0
1920,male,45-49,M,1200065.0
1920,male,45-49,W,78634.0
1920,male,45-49,V,30546.0
1920,male,50-54,S,22532.0
1920,male,50-54,M,977192.0
1920,male,50-54,W,96299.0
1920,male,50-54,V,26217.0
1920,male,55-59,S,16003.0
1920,male,55-59,M,761995.0
1920,male,55-59,W,112462.0
1920,male,55-59,V,21625.0
1920,male,60-64,S,13471.0
1920,male,60-64,M,623490.0
1920,male,60-64,W,146829.0
1920,male,60-64,V,19243.0
1920,male,65-69,S,9474.0
1920,male,65-69,M,433087.0
1920,male,65-69,W,158579.0
1920,male,65-69,V,13339.0
1920,male,70-74,S,5912.0
1920,male,70-74,M,244050.0
1920,male,70-74,W,142054.0
1920,male,70-74,V,7524.0
1920,male,75-79,S,2680.0
1920,male,75-79,M,99878.0
1920,male,75-79,W,92746.0
1920,male,75-79,V,2949.0
1920,male,80+,S,1152.0
1920,male,80+,M,33380.0
1920,male,80+,W,54662.0
1920,male,80+,V,975.0
1920,female,15-19,S,2196576.0
1920,female,15-19,M,442812.0
1920,female,15-19,W,3217.0
1920,female,15-19,V,27430.0
1920,female,20-24,S,718915.0
1920,female,20-24,M,1488497.0
1920,female,20-24,W,19278.0
1920,female,20-24,V,66141.0
1920,female,25-29,S,175432.0
1920,female,25-29,M,1642525.0
1920,female,25-29,W,40249.0
1920,female,25-29,V,57738.0
1920,female,30-34,S,72695.0
1920,female,30-34,M,1588522.0
1920,female,30-34,W,65968.0
1920,female,30-34,V,48822.0
1920,female,35-39,S,45821.0
1920,female,35-39,M,1500449.0
1920,female,35-39,W,108876.0
1920,female,35-39,V,47821.0
1920,female,40-44,S,34398.0
1920,female,40-44,M,1355711.0
1920,female,40-44,W,166615.0
1920,female,40-44,V,46786.0
1920,female,45-49,S,25643.0
1920,female,45-49,M,1042041.0
1920,female,45-49,W,211714.0
1920,female,45-49,V,38765.0
1920,female,50-54,S,18438.0
1920,female,50-54,M,783692.0
1920,female,50-54,W,279019.0
1920,female,50-54,V,31373.0
1920,female,55-59,S,13893.0
1920,female,55-59,M,567053.0
1920,female,55-59,W,323647.0
