age_start,age_band,live_S,live_M,live_W,live_V,death_S,death_M,death_W,death_V,alive_total,dead_total
15,15-19,100000.0,0.0,0.0,0.0,130.38353639013496,0.0,0.0,0.0,100000.0,0.0
20,20-24,99564.6577720531,280.6168338692611,0.0,24.341857687497168,228.9630346893113,3.487306100788186,0.0,1.4629807253944003,99869.61646360987,130.38353639013496
25,25-29,93909.03124254508,5231.489131899304,1.2883476685909592,493.89441998139597,215.12397801013975,16.029835270720437,0.07209435971845493,11.1376280118603,99635.70314209438,364.2968579056289
30,30-34,75426.6242466157,22661.529575582026,12.324743221778414,1292.8610410224373,276.87632388757663,38.59645540612437,0.4856493671790232,16.942642244210873,99393.33960644194,606.6603935580678
35,35-39,62121.308140471156,35124.5439691168,33.17007142016143,1781.4163545287306,381.4757944754573,66.46769530546685,0.9174996381563036,26.30214345861424,99060.43853553684,939.5614644631587
40,40-44,55023.20461857043,41279.13444101375,77.77539483930073,2205.160948235666,525.3476667118061,114.69002086354485,1.4606922487244915,50.868903687612615,98585.27540265917,1414.7245973408535
45,45-49,51563.0134334259,43477.58939832772,143.78317181902233,2708.522115574826,708.7120434847347,202.93757251267016,3.492018275542911,82.65045926399195,97892.90811914747,2107.0918808525416
50,50-54,49701.50914493921,43644.85399843906,268.46000295716385,3280.292879275088,1115.3036568614698,336.2208952279209,9.707492556740842,134.1925814098187,96895.11602561052,3104.883974389481
55,55-59,48094.09590928291,42959.09698907828,466.0117665563056,3780.4867346370825,1889.054850278315,561.0515645067787,19.77539387038687,233.56817573268597,95299.69139955458,4700.308600445431
60,60-64,45903.61311548402,41960.60473039072,751.087657592576,3980.9359116990954,3054.072244669611,974.8538946382628,50.041198041537015,374.7704899523152,92596.24141516641,7403.758584833598
65,65-69,42649.7068977481,40491.90964060979,1128.2467802836522,3872.640269223134,4290.391244523909,1749.7621316140726,107.92835522462758,555.7453141940758,88142.50358786467,11857.496412135322
70,70-74,38259.05563117553,37999.30787897634,1710.087751581901,3470.225280574227,6529.300273802997,2962.5454528051832,296.4781073530553,722.8740582021362,81438.67654230799,18561.32345769201
75,75-79,31665.73910338717,33914.54521322627,2498.1043179422836,2849.090015588895,9164.136476251864,4397.723750555843,627.5083764141715,929.9369606093146,70927.47865014462,29072.52134985538
80,80+,22454.073880418928,28075.757460571775,3299.2249113878834,1979.11683393484,10407.484569597684,9182.251341601299,2669.0985174138928,1090.1896696425074,55808.17308631342,44191.82691368658
85,80+,12026.186228898367,15910.90676344464,3613.438051675585,908.6179440394482,5574.148739107681,5203.521422702197,2422.6681480091515,501.8298561141528,32459.14898805804,67540.85101194197
90,80+,6441.109795148067,9016.250645677095,2879.8547178618674,419.76566343782474,2985.4605075717045,2948.6017196411267,1807.1964072794135,232.56484091875518,18756.980822124857,81243.01917787515
95,80+,3449.796519320388,5108.94119920244,2029.052566652449,195.36706153858023,1598.9839631902432,1670.7481911765135,1231.3350623905853,108.63913797426267,10783.157346713857,89216.84265328615
100,80+,1847.6778696863505,2894.772215217919,1339.282903834375,91.71800324360964,856.4004474536414,946.6427433065874,796.6402721938539,51.21924298342401,6173.450991982255,93826.54900801774
105,80+,989.5985142918613,1640.1362604405028,849.3252785391459,43.48823277324074,458.6798512572277,536.3453243895638,498.6007672966334,24.40265746604655,3522.548286044751,96477.45171395525
110,80+,530.0194560726646,929.2447038329901,524.4037734537571,20.851752275867998,245.6645212819567,303.8704271182978,305.03902440096317,11.76303473232565,2004.5196856352798,97995.48031436473
115,80+,283.87332818156557,526.4617380728245,317.72590558992596,10.1217062574174,131.57555722421966,172.1549892943258,183.5840178413382,5.7428862648885115,1138.1826781017335,98861.81732189827
