year,sex,age,from_state,to_state,value
2024,female,15-19,M,W,1.0
2024,female,20-24,M,W,46.0
2024,female,25-29,M,W,245.0
2024,female,30-34,M,W,587.0
2024,female,35-39,M,W,1190.0
2024,female,40-44,M,W,2188.0
2024,female,45-49,M,W,4006.0
2024,female,50-54,M,W,7532.0
2024,female,55-59,M,W,11845.0
2024,female,60-64,M,W,19642.0
2024,female,65-69,M,W,34107.0
2024,female,70-74,M,W,67245.0
2024,female,75-79,M,W,98318.0
2024,female,80+,M,W,227159.0
2024,male,15-19,M,W,0.0
2024,male,20-24,M,W,10.0
2024,male,25-29,M,W,104.0
2024,male,30-34,M,W,242.0
2024,male,35-39,M,W,557.0
2024,male,40-44,M,W,928.0
2024,male,45-49,M,W,1834.0
2024,male,50-54,M,W,3158.0
2024,male,55-59,M,W,4266.0
2024,male,60-64,M,W,5741.0
2024,male,65-69,M,W,9120.0
2024,male,70-74,M,W,17857.0
2024,male,75-79,M,W,25778.0
2024,male,80+,M,W,96320.0
2023,female,15-19,M,W,4.0
2023,female,20-24,M,W,66.0
2023,female,25-29,M,W,292.0
2023,female,30-34,M,W,657.0
2023,female,35-39,M,W,1251.0
2023,female,40-44,M,W,2332.0
2023,female,45-49,M,W,4281.0
2023,female,50-54,M,W,7617.0
2023,female,55-59,M,W,11892.0
2023,female,60-64,M,W,20180.0
2023,female,65-69,M,W,35097.0
2023,female,70-74,M,W,71465.0
2023,female,75-79,M,W,94827.0
2023,female,80+,M,W,218611.0
2023,male,15-19,M,W,0.0
2023,male,20-24,M,W,12.0
2023,male,25-29,M,W,81.0
2023,male,30-34,M,W,250.0
2023,male,35-39,M,W,507.0
2023,male,40-44,M,W,1028.0
2023,male,45-49,M,W,1967.0
2023,male,50-54,M,W,3191.0
2023,male,55-59,M,W,4319.0
2023,male,60-64,M,W,5828.0
2023,male,65-69,M,W,9354.0
2023,male,70-74,M,W,19126.0
2023,male,75-79,M,W,24653.0
2023,male,80+,M,W,94091.0
2022,female,15-19,M,W,4.0
2022,female,20-24,M,W,56.0
2022,female,25-29,M,W,258.0
2022,female,30-34,M,W,609.0
2022,female,35-39,M,W,1329.0
2022,female,40-44,M,W,2322.0
2022,female,45-49,M,W,4479.0
2022,female,50-54,M,W,7865.0
2022,female,55-59,M,W,12273.0
2022,female,60-64,M,W,20589.0
2022,female,65-69,M,W,36791.0
2022,female,70-74,M,W,76699.0
2022,female,75-79,M,W,91395.0
2022,female,80+,M,W,215719.0
2022,male,15-19,M,W,1.0
2022,male,20-24,M,W,18.0
2022,male,25-29,M,W,90.0
2022,male,30-34,M,W,263.0
2022,male,35-39,M,W,536.0
2022,male,40-44,M,W,1067.0
